2023-05-03 09:17:45 status half-installed libreadline-dev:amd64 8.1-1
2023-05-03 09:17:45 status unpacked libreadline-dev:amd64 8.1-1
2023-05-03 09:17:45 install libsqlite3-dev:amd64 <none> 3.34.1-3
2023-05-03 09:17:45 status half-installed libsqlite3-dev:amd64 3.34.1-3
2023-05-03 09:17:45 status unpacked libsqlite3-dev:amd64 3.34.1-3
2023-05-03 09:17:45 install libssl-dev:amd64 <none> 1.1.1n-0+deb11u4
2023-05-03 09:17:45 status half-installed libssl-dev:amd64 1.1.1n-0+deb11u4
2023-05-03 09:17:45 status unpacked libssl-dev:amd64 1.1.1n-0+deb11u4
2023-05-03 09:17:45 install libtcl8.6:amd64 <none> 8.6.11+dfsg-1
2023-05-03 09:17:45 status half-installed libtcl8.6:amd64 8.6.11+dfsg-1
2023-05-03 09:17:46 status unpacked libtcl8.6:amd64 8.6.11+dfsg-1
2023-05-03 09:17:46 install libxau6:amd64 <none> 1:1.0.9-1
2023-05-03 09:17:46 status half-installed libxau6:amd64 1:1.0.9-1
2023-05-03 09:17:46 status unpacked libxau6:amd64 1:1.0.9-1
2023-05-03 09:17:46 install libxdmcp6:amd64 <none> 1:1.1.2-3
2023-05-03 09:17:46 status half-installed libxdmcp6:amd64 1:1.1.2-3
2023-05-03 09:17:46 status unpacked libxdmcp6:amd64 1:1.1.2-3
2023-05-03 09:17:46 install libxcb1:amd64 <none> 1.14-3
2023-05-03 09:17:46 status half-installed libxcb1:amd64 1.14-3
2023-05-03 09:17:46 status unpacked libxcb1:amd64 1.14-3
2023-05-03 09:17:46 install libx11-data:all <none> 2:1.7.2-1
2023-05-03 09:17:46 status half-installed libx11-data:all 2:1.7.2-1
2023-05-03 09:17:46 status unpacked libx11-data:all 2:1.7.2-1
2023-05-03 09:17:46 install libx11-6:amd64 <none> 2:1.7.2-1
2023-05-03 09:17:46 status half-installed libx11-6:amd64 2:1.7.2-1
2023-05-03 09:17:46 status unpacked libx11-6:amd64 2:1.7.2-1
2023-05-03 09:17:46 install libxrender1:amd64 <none> 1:0.9.10-1
2023-05-03 09:17:46 status half-installed libxrender1:amd64 1:0.9.10-1
2023-05-03 09:17:46 status unpacked libxrender1:amd64 1:0.9.10-1
2023-05-03 09:17:46 install libxft2:amd64 <none> 2.3.2-2
2023-05-03 09:17:46 status half-installed libxft2:amd64 2.3.2-2
2023-05-03 09:17:46 status unpacked libxft2:amd64 2.3.2-2
2023-05-03 09:17:46 install libxext6:amd64 <none> 2:1.3.3-1.1
2023-05-03 09:17:46 status half-installed libxext6:amd64 2:1.3.3-1.1
2023-05-03 09:17:46 status unpacked libxext6:amd64 2:1.3.3-1.1
2023-05-03 09:17:46 install x11-common:all <none> 1:7.7+22
2023-05-03 09:17:46 status half-installed x11-common:all 1:7.7+22
2023-05-03 09:17:46 status unpacked x11-common:all 1:7.7+22
2023-05-03 09:17:46 install libxss1:amd64 <none> 1:1.2.3-1
